step,cycles,threshold_0_int,threshold_1_int,threshold_2_int,observation_0,observation_1,observation_2,state_0_int,state_1_int,state_2_int,cov_00_int,cov_01_int,cov_02_int,cov_10_int,cov_11_int,cov_12_int,cov_20_int,cov_21_int,cov_22_int,overflow,numeric_error,solver_error
139,1306,-266512,-355391,734796,-1,1,1,-266747,-354722,736279,805,1188,-495,1188,2193,-782,-495,-782,879,0,0,0
140,1306,-284916,-379112,756179,1,1,-1,-278478,-368414,750350,800,1171,-521,1171,2150,-817,-521,-817,922,0,0,0
141,1306,-296866,-391251,774291,-1,1,1,-297311,-390910,775975,792,1148,-544,1148,2096,-844,-544,-844,966,0,0,0
142,1306,-316042,-410229,806692,-1,-1,1,-322415,-420586,813014,782,1117,-567,1117,2022,-866,-567,-866,1015,0,0,0
143,1306,-341400,-433637,853209,1,1,-1,-335101,-423592,846620,769,1074,-592,1074,1923,-883,-592,-883,1075,0,0,0
144,1306,-351732,-429984,888412,-1,-1,1,-357912,-439633,895191,753,1027,-610,1027,1819,-884,-610,-884,1129,0,0,0
145,1306,-372340,-435297,942994,1,1,1,-369541,-430645,942178,736,973,-626,973,1700,-876,-626,-876,1185,0,0,0
146,1306,-379229,-415451,987695,-1,1,1,-380317,-415896,990287,716,917,-632,917,1579,-850,-632,-850,1230,0,0,0
147,1306,-384309,-389150,1031686,-1,1,1,-385486,-389649,1034460,696,860,-629,860,1463,-809,-629,-809,1261,0,0,0
148,1306,-382822,-352492,1067809,-1,1,-1,-380875,-349090,1064137,676,807,-617,807,1359,-757,-617,-757,1273,0,0,0
149,1306,-371142,-306144,1085034,1,-1,1,-372971,-309303,1088586,657,764,-595,764,1279,-701,-595,-701,1264,0,0,0
150,1306,-357097,-262376,1097340,1,1,1,-355028,-259015,1097422,641,730,-566,730,1220,-644,-566,-644,1236,0,0,0
151,1306,-333391,-213197,1091860,1,1,1,-331316,-209836,1092046,630,710,-531,710,1188,-591,-531,-591,1190,0,0,0
152,1306,-305495,-168768,1073835,1,1,-1,-300811,-162511,1068255,624,705,-494,705,1184,-545,-494,-545,1132,0,0,0
153,1306,-272745,-129928,1039709,-1,1,-1,-271317,-127326,1036820,624,717,-456,717,1211,-508,-456,-508,1064,0,0,0
154,1306,-243019,-103228,1002009,1,-1,1,-244402,-105830,1004735,630,741,-420,741,1264,-480,-420,-480,996,0,0,0
155,1306,-217752,-88863,966895,-1,-1,-1,-220407,-93127,966689,641,776,-388,776,1336,-460,-388,-460,932,0,0,0
156,1306,-196427,-82805,928021,1,-1,-1,-195943,-83251,926006,657,820,-360,820,1425,-446,-360,-446,874,0,0,0
157,1306,-175143,-78822,887222,1,1,-1,-170300,-71519,883124,676,872,-336,872,1529,-436,-336,-436,822,0,0,0
158,1306,-152479,-71989,844328,-1,1,1,-152654,-71178,846005,697,928,-313,928,1646,-425,-313,-425,774,0,0,0
159,1306,-138286,-74992,808467,1,-1,-1,-138260,-76003,806923,719,987,-294,987,1770,-416,-294,-416,733,0,0,0
160,1306,-127635,-82745,771277,1,1,-1,-122301,-74080,767711,742,1046,-278,1046,1897,-410,-278,-410,699,0,0,0
161,1306,-114410,-82966,733301,1,-1,1,-116005,-86444,735379,764,1105,-264,1105,2025,-403,-264,-403,668,0,0,0
162,1306,-111669,-97267,703275,-1,-1,1,-117364,-106879,706618,785,1160,-254,1160,2149,-400,-254,-400,644,0,0,0
163,1306,-116684,-120043,677583,-1,1,1,-116234,-118272,678770,805,1209,-253,1209,2261,-407,-253,-407,627,0,0,0
164,1306,-117998,-133410,651971,1,-1,1,-119815,-137436,653977,823,1255,-255,1255,2365,-417,-255,-417,616,0,0,0
165,1306,-124625,-155021,630200,1,-1,-1,-125182,-156996,629105,838,1296,-262,1296,2459,-436,-262,-436,611,0,0,0
166,1306,-132813,-177411,608660,1,1,-1,-126455,-166184,605196,850,1331,-274,1331,2540,-461,-274,-461,611,0,0,0
167,1306,-135719,-188761,586889,1,-1,-1,-136336,-190856,585866,861,1360,-286,1360,2611,-487,-286,-487,612,0,0,0
168,1306,-148586,-216933,571761,1,1,1,-143516,-207737,571198,870,1385,-304,1385,2671,-522,-304,-522,619,0,0,0
169,1306,-157771,-236540,560283,1,-1,1,-160024,-241481,562531,875,1402,-323,1402,2715,-559,-323,-559,631,0,0,0
170,1306,-177784,-274484,557678,-1,1,1,-177238,-272492,558647,878,1412,-350,1412,2739,-610,-350,-610,652,0,0,0
171,1306,-197853,-309398,560108,1,-1,1,-200276,-314652,562611,878,1413,-383,1413,2741,-667,-383,-667,682,0,0,0
172,1306,-224731,-355685,573164,-1,-1,-1,-229573,-364534,574320,876,1405,-424,1405,2719,-734,-424,-734,725,0,0,0
173,1306,-258119,-409513,597255,-1,-1,1,-265181,-422115,602597,869,1384,-473,1384,2667,-811,-473,-811,784,0,0,0
174,1306,-297869,-468708,641668,1,1,-1,-290795,-456244,635754,859,1348,-530,1348,2573,-895,-530,-895,866,0,0,0
175,1306,-324837,-500684,685783,-1,1,-1,-322120,-495142,682297,842,1295,-580,1295,2444,-961,-580,-961,957,0,0,0
176,1306,-357060,-534139,746085,1,-1,-1,-356552,-534365,744388,822,1229,-628,1229,2285,-1011,-628,-1011,1059,0,0,0
177,1306,-391403,-562660,823274,1,1,-1,-384628,-551567,815814,797,1151,-673,1151,2097,-1042,-673,-1042,1173,0,0,0
178,1306,-416072,-564177,902926,-1,1,1,-417096,-564657,905337,768,1060,-704,1060,1888,-1040,-704,-1039,1282,0,0,0
179,1306,-442943,-554359,999980,1,1,-1,-436690,-544971,991926,735,961,-724,961,1665,-1005,-724,-1005,1386,0,0,0
180,1306,-453226,-510893,1081181,1,-1,1,-455534,-514869,1085527,701,860,-725,860,1454,-934,-725,-934,1461,0,0,0
181,1306,-460687,-453622,1165039,1,-1,1,-462782,-457086,1169278,666,761,-710,761,1259,-836,-710,-836,1507,0,0,0
182,1306,-453968,-372678,1228084,-1,1,1,-455604,-373432,1231875,630,671,-675,671,1097,-719,-675,-719,1508,0,0,0
183,1306,-431611,-275290,1261178,-1,1,1,-433214,-275846,1265017,598,599,-624,599,980,-598,-624,-598,1462,0,0,0
184,1306,-395422,-176320,1262442,1,1,-1,-391105,-171319,1256209,573,550,-561,550,912,-490,-561,-490,1376,0,0,0
185,1306,-343272,-85565,1224586,-1,1,-1,-342057,-83582,1221545,555,531,-492,531,893,-405,-492,-405,1262,0,0,0
186,1306,-289002,-16756,1171041,-1,1,1,-290107,-16661,1174172,548,539,-424,539,917,-345,-424,-345,1138,0,0,0
187,1306,-236114,31461,1113875,1,1,1,-234172,34641,1114788,552,569,-363,569,975,-306,-363,-306,1021,0,0,0
188,1306,-182669,65302,1051301,1,1,-1,-178841,70341,1047447,566,618,-308,618,1065,-279,-308,-279,916,0,0,0
189,1306,-132225,86980,985662,-1,-1,1,-136147,81525,989088,588,684,-257,684,1187,-256,-257,-256,824,0,0,0
190,1306,-96022,89876,931482,1,1,1,-93027,94654,932249,617,759,-213,759,1329,-233,-213,-233,749,0,0,0
191,1306,-58839,97664,879080,1,1,1,-55433,103149,879870,650,841,-171,841,1488,-204,-171,-204,685,0,0,0
