step,state_0_int,state_1_int,state_2_int,cov_00_int,cov_01_int,cov_02_int,cov_10_int,cov_11_int,cov_12_int,cov_20_int,cov_21_int,cov_22_int
174,-290795,-456244,635754,859,1348,-530,1348,2573,-895,-530,-895,866
175,-322120,-495142,682297,842,1295,-580,1295,2444,-961,-580,-961,957
176,-356552,-534365,744388,822,1229,-628,1229,2285,-1011,-628,-1011,1059
177,-384628,-551567,815814,797,1151,-673,1151,2097,-1042,-673,-1042,1173
178,-417096,-564657,905337,768,1060,-704,1060,1888,-1040,-704,-1039,1282
179,-436690,-544971,991926,735,961,-724,961,1665,-1005,-724,-1005,1386
180,-455534,-514869,1085527,701,860,-725,860,1454,-934,-725,-934,1461
181,-462782,-457086,1169278,666,761,-710,761,1259,-836,-710,-836,1507
182,-455604,-373432,1231875,630,671,-675,671,1097,-719,-675,-719,1508
183,-433214,-275846,1265017,598,599,-624,599,980,-598,-624,-598,1462
184,-391105,-171319,1256209,573,550,-561,550,912,-490,-561,-490,1376
185,-342057,-83582,1221545,555,531,-492,531,893,-405,-492,-405,1262
186,-290107,-16661,1174172,548,539,-424,539,917,-345,-424,-345,1138
187,-234172,34641,1114788,552,569,-363,569,975,-306,-363,-306,1021
188,-178841,70341,1047447,566,618,-308,618,1065,-279,-308,-279,916
189,-136147,81525,989088,588,684,-257,684,1187,-256,-257,-256,824
190,-93027,94654,932249,617,759,-213,759,1329,-233,-213,-233,749
191,-55433,103149,879870,650,841,-171,841,1488,-204,-171,-204,685
192,-27722,101360,832951,686,926,-129,926,1659,-167,-129,-167,634
193,-3869,103271,789816,721,1009,-90,1009,1832,-125,-90,-125,594
194,10633,95871,750634,753,1088,-52,1088,2000,-77,-52,-77,562
195,31263,106422,710990,784,1161,-18,1161,2159,-29,-18,-29,540
196,39892,101573,674843,810,1228,18,1228,2306,26,18,26,524
197,57213,117575,644050,833,1289,48,1289,2442,75,48,75,514
198,63075,116617,613027,853,1341,81,1340,2561,132,81,132,508
199,79378,138222,585315,869,1385,109,1385,2666,182,109,182,506
200,92534,156906,560829,883,1423,141,1423,2759,241,141,241,509
201,112509,188506,543463,893,1452,175,1452,2833,304,175,304,518
202,135249,225841,531596,901,1476,216,1476,2890,378,216,378,534
203,147572,244167,520076,905,1489,263,1489,2922,462,263,463,559
204,175240,291812,519660,906,1492,305,1492,2933,540,305,540,588
205,194785,323032,524208,904,1484,357,1485,2918,631,357,631,631
206,222597,369841,536035,898,1468,408,1468,2878,718,408,718,683
207,254057,420639,559413,889,1442,463,1442,2812,809,463,809,749
208,288884,471287,599080,875,1400,521,1400,2707,898,521,898,832
209,326765,521449,654989,858,1344,581,1344,2566,981,581,981,934
210,369994,573234,729118,834,1268,639,1268,2380,1045,639,1045,1053
211,402890,594086,814821,805,1174,693,1175,2150,1085,693,1085,1191
212,432089,596152,910678,771,1069,731,1069,1902,1083,731,1083,1325
213,459352,582392,1015411,734,955,751,955,1650,1037,751,1037,1442
214,475714,535477,1120154,695,839,751,839,1407,951,751,951,1532
215,481797,464142,1213075,655,727,728,727,1192,829,728,829,1575
216,471020,363987,1279169,615,628,684,628,1020,689,684,689,1565
217,436498,244279,1298239,580,552,621,552,904,550,621,550,1499
218,387466,131587,1279487,552,508,546,508,847,434,546,434,1388
219,336583,46421,1242430,536,495,469,495,843,350,469,350,1252
220,276571,-24598,1180689,531,509,398,509,877,294,398,294,1117
221,215768,-74336,1114687,538,548,333,548,948,259,333,259,992
222,160078,-101915,1044653,556,605,275,605,1050,235,275,235,883
223,111652,-117367,983201,582,677,223,677,1181,213,223,213,793
224,69709,-125069,926830,615,758,177,758,1333,187,177,187,719
225,30794,-133103,875138,650,844,133,844,1499,154,133,154,660
226,-3284,-140924,825778,687,931,89,931,1674,111,89,111,613
227,-27346,-139927,785218,724,1018,43,1018,1852,56,43,56,577
228,-48846,-145319,748577,758,1098,0,1098,2021,-4,0,-4,553
229,-65600,-147852,712911,788,1171,-43,1171,2177,-69,-43,-69,538
230,-79828,-152795,680586,814,1234,-84,1234,2315,-135,-84,-135,530
231,-94923,-166589,651797,836,1288,-123,1288,2438,-200,-123,-200,528
232,-103965,-172067,628145,853,1334,-161,1334,2542,-267,-161,-267,532
233,-117024,-187191,607789,867,1369,-195,1369,2625,-329,-195,-329,540
234,-138132,-220013,593028,877,1397,-229,1397,2691,-392,-229,-392,553
235,-154569,-243822,582307,883,1414,-270,1414,2733,-464,-270,-464,576
236,-180269,-286229,579565,886,1423,-312,1423,2755,-538,-312,-538,604
237,-195745,-309057,577791,885,1421,-361,1421,2750,-622,-361,-622,645
238,-212759,-334838,581279,881,1412,-406,1412,2727,-699,-406,-699,691
239,-241151,-381214,598733,875,1393,-449,1393,2685,-769,-449,-769,743
240,-270399,-423390,626583,865,1363,-497,1363,2610,-844,-497,-844,810
241,-304743,-472210,669049,852,1322,-548,1322,2507,-915,-548,-915,892
242,-341445,-517540,727559,834,1263,-599,1263,2363,-977,-599,-977,990
243,-369367,-537303,791887,811,1189,-648,1189,2183,-1023,-648,-1023,1104
244,-408133,-566041,879927,784,1105,-687,1105,1984,-1038,-687,-1038,1217
245,-439174,-567046,974893,752,1006,-717,1006,1757,-1022,-717,-1022,1335
246,-457360,-533179,1071597,716,898,-731,898,1524,-967,-731,-967,1437
247,-463623,-471536,1153547,679,791,-723,791,1309,-874,-723,-874,1501
248,-452424,-384344,1210178,642,694,-692,694,1132,-757,-692,-757,1516
249,-433209,-293125,1247296,608,618,-640,618,1006,-634,-640,-634,1476
250,-400386,-200210,1249636,581,565,-578,565,929,-523,-578,-523,1396
251,-351879,-108600,1220159,561,539,-512,539,900,-433,-512,-433,1290
252,-299740,-37010,1176022,552,541,-444,541,915,-368,-444,-368,1170
253,-245590,16311,1119921,553,567,-381,567,967,-324,-381,-325,1052
254,-192935,52772,1059163,565,612,-325,612,1052,-295,-325,-295,944
255,-145753,73966,995778,586,673,-274,673,1165,-272,-274,-272,849
256,-109248,77490,941135,614,746,-229,746,1302,-249,-229,-249,769
257,-71851,86685,888326,646,826,-190,826,1458,-225,-190,-225,704
258,-46868,81354,838099,679,909,-150,909,1625,-193,-150,-193,650
259,-22726,83318,790945,714,992,-115,992,1797,-158,-115,-158,607
260,-2954,84984,750359,748,1074,-81,1074,1970,-118,-81,-118,574
261,7858,77002,713150,780,1151,-47,1151,2135,-73,-47,-73,547
262,19340,75799,677998,808,1220,-19,1220,2288,-31,-19,-31,527
263,24311,69414,642431,831,1281,7,1281,2426,10,7,10,513
264,38593,83989,611647,852,1337,28,1337,2555,46,28,46,503
265,46203,88095,583125,869,1385,54,1385,2669,89,54,89,496
266,56281,101392,556828,885,1426,77,1426,2771,130,77,130,493
267,64286,110355,532598,896,1461,101,1461,2855,174,101,174,493
268,72718,121951,510462,907,1492,125,1492,2934,219,125,219,495
269,85233,144347,491176,916,1517,149,1517,3001,264,149,264,499
270,95804,161338,471848,920,1536,177,1536,3051,316,177,316,506
271,115919,198160,457395,925,1553,205,1553,3096,371,205,371,518
272,140813,243565,451490,927,1564,243,1564,3127,441,243,441,537
273,155779,269408,446434,927,1564,291,1564,3132,528,291,528,567
274,181203,315994,449348,924,1558,337,1558,3119,611,337,611,603
275,202825,352762,458199,917,1543,390,1543,3080,704,390,704,652
276,229828,398206,478818,909,1518,442,1518,3019,795,442,795,712
277,265429,455766,513401,897,1482,497,1482,2928,885,497,885,785
278,302628,511328,560332,881,1430,558,1430,2794,976,558,976,879
279,350146,579317,630946,860,1361,619,1361,2619,1057,619,1057,994
280,397112,631876,727219,833,1271,683,1271,2392,1123,683,1123,1138
281,445707,671266,849433,799,1159,739,1159,2117,1152,739,1152,1299
282,480241,663079,978881,760,1026,782,1026,1807,1131,782,1131,1468
283,511698,627179,1121464,714,885,797,885,1499,1044,797,1044,1605
284,522776,539752,1244559,665,741,782,741,1214,901,782,901,1693
285,513383,415393,1338562,616,613,735,613,989,723,735,723,1704
286,483778,272892,1387008,570,512,660,512,837,541,660,541,1631
287,430264,126868,1376593,532,446,569,446,758,386,569,386,1495
288,360125,-214,1323022,507,421,473,421,742,276,473,276,1326
289,285578,-91596,1246873,497,432,382,432,774,209,382,209,1154
290,208576,-153495,1161344,502,472,302,472,844,170,302,170,1002
291,140601,-186498,1085112,520,535,233,535,949,146,233,146,877
292,83375,-197915,1017347,547,613,172,613,1081,122,172,122,777
293,28915,-209534,957460,582,700,117,700,1235,92,117,92,700
294,-18155,-217573,903600,622,791,64,791,1404,49,64,49,643
295,-50300,-212420,858700,663,882,9,882,1580,-9,9,-9,603
296,-80385,-216669,820034,701,968,-43,968,1752,-75,-43,-75,578
297,-106488,-224133,790265,735,1046,-96,1047,1911,-150,-96,-150,567
298,-128974,-233741,763028,766,1115,-148,1115,2050,-231,-148,-231,567
299,-143307,-235412,739417,791,1171,-200,1171,2166,-314,-200,-314,578
300,-165851,-257563,722119,810,1213,-246,1213,2257,-392,-246,-392,595
301,-185933,-279489,713190,824,1244,-294,1244,2321,-472,-294,-472,623
302,-205025,-301774,707258,832,1261,-342,1261,2356,-551,-341,-551,658
303,-229117,-332976,709711,837,1267,-388,1267,2368,-628,-388,-628,701
304,-254545,-365947,721100,836,1261,-435,1261,2351,-704,-435,-704,755
305,-270490,-380780,735839,831,1243,-484,1243,2303,-775,-484,-775,820
306,-286111,-394542,755301,820,1213,-524,1213,2232,-829,-524,-829,884
307,-311523,-423420,786628,807,1175,-557,1175,2147,-868,-557,-867,948
308,-336901,-447221,827605,792,1129,-588,1129,2039,-898,-588,-898,1021
309,-358607,-457571,878132,773,1074,-617,1074,1911,-915,-617,-915,1098
310,-373569,-451980,930305,752,1011,-638,1011,1772,-913,-638,-913,1172
311,-383959,-434703,981799,729,944,-649,944,1629,-888,-649,-888,1232
312,-396594,-417725,1036243,706,879,-648,879,1495,-846,-648,-846,1274
313,-391305,-370881,1071652,682,815,-638,815,1369,-791,-638,-791,1301
314,-382022,-324048,1096153,660,763,-616,762,1271,-727,-616,-727,1299
315,-368167,-274444,1112368,641,722,-585,722,1200,-661,-585,-661,1273
316,-344854,-220647,1107706,626,696,-549,696,1157,-600,-549,-600,1228
317,-319187,-174724,1095074,617,685,-509,685,1145,-547,-509,-547,1166
318,-291467,-138399,1068372,614,689,-469,689,1160,-505,-469,-505,1098
319,-259477,-104494,1032105,617,707,-431,707,1199,-473,-431,-473,1028
320,-228035,-79753,990694,627,739,-395,739,1264,-450,-395,-450,959
321,-204512,-72455,953590,642,783,-363,783,1351,-433,-363,-433,894
322,-180288,-63932,914295,660,833,-337,833,1453,-421,-337,-421,838
323,-157621,-58234,871110,681,889,-312,888,1566,-411,-312,-411,788
324,-139880,-58814,832816,704,949,-291,949,1691,-401,-291,-401,743
325,-127115,-66521,796544,728,1010,-273,1010,1819,-392,-273,-392,703
326,-116612,-72132,761597,752,1070,-259,1070,1948,-386,-259,-386,672
327,-103847,-71766,723844,775,1129,-247,1129,2076,-382,-247,-382,645
328,-97368,-78465,688824,796,1185,-235,1185,2203,-376,-235,-376,622
329,-90310,-82055,657721,815,1238,-227,1238,2325,-371,-227,-371,603
330,-94952,-103635,628158,834,1287,-220,1287,2439,-367,-220,-367,586
331,-104163,-130061,604657,850,1331,-221,1331,2544,-375,-221,-375,577
332,-109787,-146295,582725,863,1367,-231,1367,2630,-397,-231,-397,574
333,-116286,-162909,560576,873,1397,-245,1397,2704,-424,-245,-424,575
334,-127730,-189485,542423,881,1422,-261,1422,2767,-456,-261,-456,580
335,-140703,-215154,530473,887,1442,-283,1442,2818,-498,-283,-498,591
336,-154791,-242013,519891,891,1455,-311,1455,2851,-548,-311,-548,607
337,-173222,-275981,517555,894,1463,-342,1463,2872,-604,-342,-604,631
338,-196099,-318689,520091,893,1462,-378,1462,2869,-669,-378,-669,663
339,-229609,-377304,537580,889,1450,-422,1450,2839,-742,-422,-742,708
340,-260720,-426211,565611,881,1424,-476,1424,2772,-829,-476,-829,775
341,-302668,-491092,612397,868,1382,-533,1382,2666,-913,-533,-913,858
342,-344247,-547274,677568,850,1321,-596,1321,2511,-996,-596,-996,968
343,-387725,-594832,763746,825,1240,-657,1240,2308,-1061,-657,-1061,1099
344,-424833,-614380,861955,795,1139,-711,1139,2064,-1093,-711,-1093,1246
345,-456611,-609565,971165,759,1024,-748,1024,1796,-1077,-748,-1077,1388
346,-487681,-587026,1095022,719,901,-764,901,1529,-1010,-764,-1010,1508
347,-497489,-513484,1204437,676,773,-756,773,1273,-896,-756,-896,1592
348,-485735,-403958,1277947,632,656,-719,656,1062,-748,-719,-748,1612
349,-461535,-287439,1322151,591,564,-657,564,917,-594,-657,-594,1559
350,-422838,-170122,1328641,557,502,-579,502,834,-458,-579,-458,1454
351,-370567,-63770,1299593,533,472,-497,472,805,-353,-497,-353,1319
352,-305720,26560,1237936,521,472,-418,472,821,-281,-418,-281,1175
353,-241536,84984,1165118,522,502,-345,502,876,-236,-345,-236,1037
354,-182370,118768,1095475,535,553,-281,553,966,-208,-281,-208,916
355,-126624,138871,1028176,558,620,-226,620,1084,-187,-226,-187,817
356,-80503,144971,964188,588,699,-176,699,1226,-163,-176,-163,737
357,-39264,150497,909764,623,786,-130,786,1388,-134,-130,-134,673
358,-4513,153572,861371,662,874,-85,874,1561,-94,-85,-94,623
359,19935,147850,815630,699,961,-41,961,1737,-45,-41,-45,586
360,47805,157602,774159,735,1044,1,1044,1909,8,1,8,559
361,63259,154132,740025,767,1121,45,1121,2070,71,45,72,543
362,85648,170229,709777,796,1189,85,1189,2217,135,85,135,534
363,106913,189571,681627,820,1246,128,1246,2342,206,128,206,533
364,128279,213282,658762,838,1292,173,1292,2445,282,173,282,541
365,139160,221544,638760,852,1328,220,1328,2524,364,220,364,558
366,154095,239526,622960,862,1354,261,1354,2584,439,261,439,579
